ID,Code,Headline,Source,Date,URL
TheEdge2019030120115213,5213,Sentoria bags design & build contract worth RM85.4mil,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497710/sentoria-bags-design-build-contract-worth-rm85-4mil
TheEdge2019030120148141,8141,Majuperak CEO resigns after just 5 months on the job,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497712/majuperak-ceo-resigns-after-just-5-months-on-the-job
TheEdge2019030120280101,0101,TMC Life receives RM300m loan from Maybank,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497714/tmc-life-receives-rm300m-loan-from-maybank
TheEdge2019030120543484,3484,OCR’s RM324m contract in Putrajaya terminated,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497720/ocr-s-rm324m-contract-in-putrajaya-terminated
TheEdge2019030120547071,7071,OCR’s RM324m contract in Putrajaya terminated,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497720/ocr-s-rm324m-contract-in-putrajaya-terminated
TheEdge2019030121006963,6963,VS Industry secures contract to manufacture Bissel home care products,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497726/vs-industry-secures-contract-to-manufacture-bissel-home-care-products
TheEdge2019030121030043,0043,Metronic Global appoints ED Hoo Wai Keong as CEO,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497732/metronic-global-appoints-ed-hoo-wai-keong-as-ceo
TheEdge2019030121167285,7285,Tomypak units corporate affairs director quits after one year,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497736/tomypak-unit-s-corporate-affairs-director-quits-after-one-year
TheEdge2019030121255265,5265,"Dolphin International seeks to diversify into construction, property development",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497738/dolphin-international-seeks-to-diversify-into-construction-property-development
TheEdge2019030121365932,5932,Baker Tilly quits Bina Puri as firm wants change of auditors,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497742/baker-tilly-quits-bina-puri-as-firm-wants-change-of-auditors
TheEdge2019030122295070,5070,Protasco jointly undertakes RM371.5m mixed development project in Tampin with sister company,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497748/protasco-jointly-undertakes-rm371-5m-mixed-development-project-in-tampin-with-sister-company
TheEdge2019030122372771,2771,Mindef tells Najib to stop spreading fake news,TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497750/mindef-tells-najib-to-stop-spreading-fake-news
TheEdge2019030123240101,0101,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030123243484,3484,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030123245213,5213,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030123245265,5265,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030123246963,6963,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030123247071,7071,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030123247293,7293,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030123248141,8141,"Dolphin, VS Industry, OCR, KNM, Yinson, Majuperak, TMC and Sentoria",TheEdge,1/3/2019,https://www.klsescreener.com/v2/news/view/497758/dolphin-vs-industry-ocr-knm-yinson-majuperak-tmc-and-sentoria
TheEdge2019030200353441,3441,Day of reckoning as Semenyih folk go to the polls,TheEdge,2/3/2019,https://www.klsescreener.com/v2/news/view/497820/day-of-reckoning-as-semenyih-folk-go-to-the-polls
TheEdge2019030216415222,5222,FGV senior officer detained by MACC,TheEdge,2/3/2019,https://www.klsescreener.com/v2/news/view/497948/fgv-senior-officer-detained-by-macc
TheEdge2019030317315222,5222,FGV pledges cooperation over arrest of senior officer by MACC,TheEdge,3/3/2019,https://www.klsescreener.com/v2/news/view/497998/fgv-pledges-cooperation-over-arrest-of-senior-officer-by-macc
TheEdge2019030406030101,0101,"KLCI to extend sideways consolidation, hurdle at 1,710",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498006/klci-to-extend-sideways-consolidation-hurdle-at-1-710
TheEdge2019030406035213,5213,"KLCI to extend sideways consolidation, hurdle at 1,710",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498006/klci-to-extend-sideways-consolidation-hurdle-at-1-710
TheEdge2019030406035265,5265,"KLCI to extend sideways consolidation, hurdle at 1,710",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498006/klci-to-extend-sideways-consolidation-hurdle-at-1-710
TheEdge2019030406036963,6963,"KLCI to extend sideways consolidation, hurdle at 1,710",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498006/klci-to-extend-sideways-consolidation-hurdle-at-1-710
TheEdge2019030406037071,7071,"KLCI to extend sideways consolidation, hurdle at 1,710",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498006/klci-to-extend-sideways-consolidation-hurdle-at-1-710
TheEdge2019030406037293,7293,"KLCI to extend sideways consolidation, hurdle at 1,710",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498006/klci-to-extend-sideways-consolidation-hurdle-at-1-710
TheEdge2019030406038141,8141,"KLCI to extend sideways consolidation, hurdle at 1,710",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498006/klci-to-extend-sideways-consolidation-hurdle-at-1-710
TheEdge2019030408378524,8524,CIMB Research lowers target price for Taliworks to RM1.08,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498084/cimb-research-lowers-target-price-for-taliworks-to-rm1-08
TheEdge20190304083903001,03001,"Maxis to expand 5G use cases with enterprises, universities",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498074/maxis-to-expand-5g-use-cases-with-enterprises-universities
TheEdge2019030408401619,1619,Proton to treat third national car like any other competitor,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498076/proton-to-treat-third-national-car-like-any-other-competitor
TheEdge2019030408413441,3441,EITA’s rising substation jobs to cushion MRT2’s cost-cutting impact,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498078/eita-s-rising-substation-jobs-to-cushion-mrt2-s-cost-cutting-impact
TheEdge2019030408415208,5208,EITA’s rising substation jobs to cushion MRT2’s cost-cutting impact,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498078/eita-s-rising-substation-jobs-to-cushion-mrt2-s-cost-cutting-impact
TheEdge2019030408422771,2771,Spate of exits at The Curve puts Boustead in focus,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498080/spate-of-exits-at-the-curve-puts-boustead-in-focus
TheEdge2019030409111082,1082,"KLCI falls 0.62% on tepid sentiment, index stays below 1,700-level",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498116/klci-falls-0-62-on-tepid-sentiment-index-stays-below-1-700-level
TheEdge2019030409112291,2291,"KLCI falls 0.62% on tepid sentiment, index stays below 1,700-level",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498116/klci-falls-0-62-on-tepid-sentiment-index-stays-below-1-700-level
TheEdge2019030409113689,3689,"KLCI falls 0.62% on tepid sentiment, index stays below 1,700-level",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498116/klci-falls-0-62-on-tepid-sentiment-index-stays-below-1-700-level
TheEdge2019030409275265,5265,Dolphin jumps 11.11% on plans to diversify into construction and property,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498122/dolphin-jumps-11-11-on-plans-to-diversify-into-construction-and-property
TheEdge2019030410050176,0176,Kronologi upbeat about prospects with Sandz buy,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498136/kronologi-upbeat-about-prospects-with-sandz-buy
TheEdge2019030410076139,6139,BIMB seen able to keep NIM compression at minimum,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498148/bimb-seen-able-to-keep-nim-compression-at-minimum
TheEdge2019030410082488,2488,Better NIM seen to support moderating loans for Alliance Bank,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498152/better-nim-seen-to-support-moderating-loans-for-alliance-bank
TheEdge2019030410085095,5095,Better year ahead expected for HeveaBoard,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498150/better-year-ahead-expected-for-heveaboard
TheEdge2019030410106963,6963,VS Industry downgraded to hold at AmInvestment Bank; price target RM1.04,TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498156/vs-industry-downgraded-to-hold-at-aminvestment-bank-price-target-rm1-04
TheEdge2019030410200023,0023,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410200097,0097,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410201589,1589,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410201899,1899,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410202089,2089,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410202291,2291,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410203689,3689,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410205133,5133,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410205139,5139,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410207090,7090,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
TheEdge2019030410207216,7216,"KLCI pares loss, remains below 1,700",TheEdge,4/3/2019,https://www.klsescreener.com/v2/news/view/498160/klci-pares-loss-remains-below-1-700
